hours	90%	80%	70%	60%	50%	40%	30%	20%	10%
0	0	0	0	0	0	0	0	0	0
0.5	0.26	0.94	1.43	1.66	2.27	2.9	5.09	8.35	14.81
1	1.07	1.93	2.93	3.94	5.45	7.33	11.61	18.05	29.74
1.5	1.85	2.97	4.59	6.45	8.95	12.3	18.49	27.88	43.66
2	2.47	4.08	6.39	9.02	12.5	17.31	25.19	37.15	55.97
2.5	2.97	5.27	8.31	11.6	15.99	22.12	31.49	45.56	66.42
3	3.41	6.55	10.29	14.19	19.4	26.67	37.32	53.01	74.99
3.5	3.9	7.9	12.29	16.79	22.74	30.98	42.7	59.54	81.8
4	4.47	9.3	14.3	19.41	26.05	35.1	47.71	65.25	87.07
4.5	5.14	10.72	16.31	22.05	29.34	39.09	52.4	70.25	91.04
5	5.89	12.15	18.33	24.7	32.64	42.99	56.83	74.66	93.94
5.5	6.7	13.59	20.37	27.37	35.95	46.82	61.02	78.56	96.01
6	7.55	15.04	22.45	30.05	39.25	50.59	64.99	82.02	97.44
6.5	8.44	16.52	24.59	32.75	42.55	54.28	68.75	85.09	98.4
7	9.35	18.05	26.79	35.47	45.82	57.89	72.29	87.81	99.03
7.5	10.3	19.66	29.05	38.21	49.06	61.38	75.59	90.19	99.42
8	11.3	21.36	31.39	40.99	52.25	64.75	78.67	92.26	99.67
8.5	12.37	23.16	33.79	43.8	55.38	67.96	81.5	94.02	99.81
9	13.52	25.09	36.25	46.65	58.45	71.01	84.08	95.5	99.89
9.5	14.77	27.14	38.76	49.52	61.44	73.9	86.43	96.7	99.94
10	16.12	29.3	41.3	52.42	64.36	76.63	88.54	97.66	99.96
10.5	17.59	31.58	43.87	55.33	67.2	79.19	90.42	98.4	99.97
11	19.17	33.94	46.47	58.22	69.95	81.59	92.09	98.95	99.98
11.5	20.85	36.4	49.09	61.09	72.61	83.85	93.55	99.35	99.98
12	22.63	38.92	51.73	63.91	75.18	85.96	94.83	99.62	99.99
12.5	24.52	41.52	54.39	66.67	77.64	87.93	95.92	99.79	99.99
13	26.5	44.17	57.08	69.35	80	89.76	96.85	99.89	99.99
13.5	28.59	46.88	59.78	71.95	82.25	91.45	97.62	99.95	99.99
14	30.79	49.64	62.5	74.46	84.38	92.98	98.26	99.97	99.99
14.5	33.14	52.46	65.24	76.88	86.38	94.35	98.76	99.98	99.99
15	35.64	55.33	67.98	79.21	88.26	95.57	99.16	99.99	99.99
15.5	38.32	58.25	70.71	81.44	90	96.62	99.45	99.99	99.99
16	41.21	61.2	73.41	83.58	91.6	97.5	99.67	99.99	99.99
16.5	44.3	64.19	76.07	85.63	93.07	98.22	99.81	99.99	99.99
17	47.62	67.19	78.66	87.58	94.39	98.79	99.9	99.99	99.99
17.5	51.16	70.18	81.17	89.42	95.57	99.22	99.95	99.99	99.99
18	54.9	73.16	83.57	91.14	96.6	99.53	99.98	99.99	99.99
18.5	58.84	76.1	85.86	92.73	97.49	99.74	99.99	99.99	99.99
19	62.93	78.99	88.02	94.18	98.23	99.87	99.99	99.99	99.99
19.5	67.14	81.83	90.05	95.47	98.82	99.94	99.99	99.99	99.99
20	71.43	84.59	91.94	96.61	99.27	99.98	99.99	99.99	99.99
20.5	75.74	87.27	93.69	97.57	99.59	99.99	99.99	99.99	100
21	80.02	89.83	95.28	98.38	99.81	99.99	99.99	100	100
21.5	84.18	92.23	96.7	99.01	99.93	100	100	100	100
22	88.14	94.42	97.91	99.49	99.98	100	100	100	100
22.5	91.78	96.3	98.88	99.8	100	100	100	100	100
23	95	97.82	99.55	99.95	100	100	100	100	100
23.5	97.74	98.99	99.92	99.99	100	100	100	100	100
24	100	100	100	100	100	100	100	100	100
